,date,favorite_count,keyword,location,text,user,object_of_sentiment,salience,magnitude,sentiment_score,person
87,Tue Jul 16 17:20:37 +0000 2019,0,tsipras,Athens,"RT @amna_newseng: .@tsipras_eu to @syriza_gr: We need to prepare for attack on workers' rights by corporate-style gov't
https://t.co/ZfBBlW",GreeceOutsideIn,,,,,
88,Tue Jul 16 17:20:31 +0000 2019,1,tsipras,Athens,.@tsipras_eu to @syriza_gr: We need to prepare for attack on workers' rights by corporate-style gov't https://t.co/gTko2wD6OV,amna_newseng,,,,,
89,Tue Jul 16 13:26:57 +0000 2019,7,tsipras,Athens,Mitsotakis is backtracking on Tsipras' plans to loosen church-state ties. Remains to be seen if he wants to keep cl https://t.co/1ILsmtpVDG,daphnenews,Tsipras,0.145533353,0,0,Tsipras
90,Mon Jul 15 20:26:34 +0000 2019,0,tsipras,Athens,Syriza's fall from grace in Greece: Can neoliberalism be defeated? https://t.co/VfjOhVWqR7 https://t.co/oRfZZ1eWMT,baphometx,,,,,
91,Mon Jul 15 13:42:30 +0000 2019,1,tsipras,Athens,@Tsipras_int2 Greek people too idiots to understand the great plan from the great prothypourg.,spinellaki,,,,,
92,Mon Jul 15 13:16:33 +0000 2019,0,tsipras,Athens,@Tsipras_int2 Indeed my dear radical,christineyannou,,,,,
93,Sun Jul 14 09:47:29 +0000 2019,0,tsipras,Athens,Just read in the news that Tsipras is considering renaming Syriza... To what? Guess. https://t.co/adwQRzU5s1,prostgrad,Tsipras,0.193325981,0.100000001,0.100000001,Tsipras
94,Sun Jul 14 05:35:45 +0000 2019,0,tsipras,Athens,RT @freddakios: @Tsipras_int2 but koulis showed you his bird already ,GeorgiaStefani8,,,,,
95,Sun Jul 14 01:07:16 +0000 2019,0,tsipras,Athens,"RT @ekathimerini: US Senator Bob Menendez (D-NJ), a well-known supporter of Greece, urges Prime Minister Tsipras to recognize Juan Guaido a",AthinaMarturet,Tsipras,0.114538386,0.300000012,-0.100000001,Tsipras
96,Sat Jul 13 23:11:31 +0000 2019,0,tsipras,Athens,"#Greece: Tsipras envisions SYRIZA as 'a party of the masses' https://t.co/aQTU4Rocpm
Former prime minister and SYRI https://t.co/gZkcEFIV5T",DimoYagcioglu,Tsipras,0.125755414,0,0,Tsipras
97,Sat Jul 13 19:13:26 +0000 2019,2,tsipras,Athens,"@Vzla_Indomita We kicked Tsipras out and recognized  Guaido! 
Now you put Maduro in jail and free Venezuela!",theogiannaros1,Tsipras,0.221919209,0.800000012,-0.800000012,Tsipras
98,Sat Jul 13 18:06:19 +0000 2019,36,tsipras,Athens,@Tsipras_int2 but koulis showed you his bird already ,freddakios,,,,,
99,Sat Jul 13 17:20:24 +0000 2019,0,tsipras,Athens,Tsipras to expand SYRIZA into a large progressive wing https://t.co/I9U4B5MTBQ #Greece #news,GreeceOutsideIn,Tsipras,0.58057344,0,0,Tsipras
100,Sat Jul 13 15:16:09 +0000 2019,0,tsipras,Athens,Tsipras envisions SYRIZA as 'a party of the masses' https://t.co/CnkHmgxq53 https://t.co/wABlTwgoo4,ekathimerini,Tsipras,0.447659343,0,0,Tsipras
101,Sat Jul 13 12:57:57 +0000 2019,0,tsipras,Athens,"RT @amna_newseng: SYRIZA President @tsipras_eu: Democratic and progressive #Greece invested in SYRIZA last Sunday
https://t.co/vR1iqHW3DM h",GreeceOutsideIn,,,,,
102,Sat Jul 13 12:57:52 +0000 2019,0,tsipras,Athens,SYRIZA President @tsipras_eu: Democratic and progressive #Greece invested in SYRIZA last Sunday https://t.co/c4XqxvzHH9,amna_newseng,,,,,
103,Sat Jul 13 11:32:18 +0000 2019,0,tsipras,Athens,@mkhalili @BrunoTersago But take NYT: Mitsotakis supporters went literally apeshit over this: https://t.co/4m3DlCKjpd,damomac,Mitsotakis,0.080550075,0,0,Mitsotakis
104,Fri Jul 12 20:35:26 +0000 2019,0,tsipras,Athens,@Tsipras_int2 You have collected all the jizz.,IoannisIoannou9,,,,,
105,Fri Jul 12 16:15:17 +0000 2019,1,tsipras,Athens,"@TheEconomist The first Tsipras cabinet had only 6 women (5 now), none of them a minister (2 now), but the Economis https://t.co/xqReNjhSbA",egrammes,Tsipras,0.095142476,0.200000003,-0.200000003,Tsipras
106,Wed Jul 17 06:48:11 +0000 2019,4,tsipras,Thessaloniki,@JamesKerLindsay @kmitsotakis @tsipras_eu James we dont need Antifa supporters like yourself chiming in with bad ideas!,HellenismToday,,,,,
107,Tue Jul 16 06:32:26 +0000 2019,4,tsipras,Thessaloniki,"I'm wondering how karma has worked in the case of #Boris. He paved the way for Euroscepticism with his Euromyths, t https://t.co/oy7jm0vzmV",RevePedi,,,,,
108,Mon Jul 15 19:53:05 +0000 2019,0,tsipras,Thessaloniki,RT @spyrakos01: @Tsipras_int2 Throw the black Peter  behind you...,minxM,,,,,
109,Mon Jul 15 17:58:16 +0000 2019,0,tsipras,Thessaloniki,@MAROOZx @Tsipras_int2 I did... ,qYIfCsbHk8lYE3v,,,,,
110,Mon Jul 15 11:10:14 +0000 2019,3,tsipras,Thessaloniki,@Tsipras_int2 You can be president of democracy together with varoufakis,KostasPan4,,,,,
111,Mon Jul 15 10:31:25 +0000 2019,0,tsipras,Thessaloniki,"RT @MAROOZx: @Tsipras_int2 No no no Alexis!!! You should go for president of America... planitarch, you know?",redbug76,Alexis,0.146779329,0.200000003,0.200000003,Tsipras
112,Mon Jul 15 10:26:57 +0000 2019,14,tsipras,Thessaloniki,"@Tsipras_int2 No no no Alexis!!! You should go for president of America... planitarch, you know?",MAROOZx,Alexis,0.239371881,0.200000003,0.200000003,Tsipras
113,Sun Jul 14 19:24:24 +0000 2019,0,tsipras,Thessaloniki,RT @MakeGreeceGreat: Night of the Long Knives: Boris May Purge Remainers from Cabinet. #Greece under #Tsipras missed the #GRexit opportunit,PTampouras,Tsipras,0.042286031,0,0,Tsipras
114,Sun Jul 14 17:54:44 +0000 2019,1,tsipras,Thessaloniki,Night of the Long Knives: Boris May Purge Remainers from Cabinet. #Greece under #Tsipras missed the #GRexit opportu https://t.co/bc8vbwLjHo,MakeGreeceGreat,Tsipras,0.022562487,0,0,Tsipras
115,Sat Jul 13 18:35:01 +0000 2019,7,tsipras,Thessaloniki,@Tsipras_int2 Sit high and watch ...,spyrakos01,,,,,
116,Sat Jul 13 18:06:49 +0000 2019,17,tsipras,Thessaloniki,@Tsipras_int2 I didn't have you for matakia ex prothipourg..!,MAROOZx,,,,,
117,Sun Jul 21 12:48:16 +0000 2019,0,tsipras,Europe,"RT @JeremyCliffe: Greece goes to the polls on Sunday. In my @TheEconomist column this week I profile Kyriakos Mitsotakis, the man almost ce",Mohamma91056909,,,,,
118,Sun Jul 21 10:50:35 +0000 2019,0,tsipras,Europe,"Tsipras taunts Mitsotakis for not canceling the Prespa treaty - https://t.co/ruCUsdgb4K 

#Macedonia https://t.co/VfwC9eFpBK",RepublikaEng,Mitsotakis,0.238118127,0.400000006,-0.400000006,
119,Sun Jul 21 07:40:19 +0000 2019,0,tsipras,Europe,RT @mowords: Extreme far-right party loses every seat in Greek parliament as opposition claims landslide victory https://t.co/6W5AsC747H,iddesleigh,,,,,
120,Sat Jul 20 15:59:26 +0000 2019,30,tsipras,Europe,Extreme far-right party loses every seat in Greek parliament as opposition claims landslide victory https://t.co/6W5AsC747H,mowords,,,,,
121,Sat Jul 20 10:03:30 +0000 2019,0,tsipras,Europe,"RT @HarrisSamaras: Read: ""#Greece - Defeat of Populism at the Hands of Reality"" by @dlacalle_IA. The failure of #Keynesian policies, and Al",PKythreotis,,,,,
122,Sat Jul 20 08:13:38 +0000 2019,0,tsipras,Europe,"RT @theokoulouris: Memories of Athens 4 years ago, inc the Democracy Rising conference. Note the hope in the atmosphere despite Tsipras ca",MatinaLiosi,Tsipras,0.021969594,0,0,Tsipras
123,Sat Jul 20 07:52:29 +0000 2019,2,tsipras,Europe,"Memories of Athens 4 years ago, inc the Democracy Rising conference. Note the hope in the atmosphere despite Tsipra https://t.co/G01gTx0dal",theokoulouris,,,,,
124,Sat Jul 20 07:36:28 +0000 2019,0,tsipras,Europe,"RT @HarrisSamaras: #Greece, a disillusioned society that ""allowed"" Alexis Tsipras' populist government to amongst other raise #taxes of the",PytheasThe,,,,,
125,Sat Jul 20 06:26:55 +0000 2019,0,tsipras,Europe,"RT @dlacalle_IA: The defeat of Tsipras in Greece is the loss of those who came to power promising that two plus two would equal twenty-two,",AchylleT,Tsipras,0.086433336,0.600000024,-0.600000024,Tsipras
126,Sat Jul 20 06:06:25 +0000 2019,0,tsipras,Europe,"RT @112_sos: Bonus: We always love to meet Prime Ministers 
https://t.co/1MGmWFp3Uo https://t.co/dnsKkVDqyU",emweeklyrpt,,,,,
127,Sat Jul 20 05:28:42 +0000 2019,4,tsipras,Europe,"#Greece, a disillusioned society that ""allowed"" Alexis Tsipras' populist government to amongst other raise #taxes o https://t.co/oUXPeHl7y4",HarrisSamaras,,,,,
128,Sat Jul 20 05:28:41 +0000 2019,5,tsipras,Europe,"Read: ""#Greece - Defeat of Populism at the Hands of Reality"" by @dlacalle_IA. The failure of #Keynesian policies, a https://t.co/HyouLnVs0F",HarrisSamaras,,,,,
129,Sat Jul 20 00:25:02 +0000 2019,29,tsipras,Europe,The defeat of Tsipras in Greece is the loss of those who came to power promising that two plus two would equal twen https://t.co/PtehuPZ54Y,dlacalle_IA,Tsipras,0.179365292,0.699999988,-0.699999988,Tsipras
